,coach,games,seasons,wins,losses,ties,playoff_births,games_playoff,wins_playoff,losses_playoff,games_superbowl,wins_superbowl
196,Paul Wiggin,35.0,3,11.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0
197,Bert Bell,58.0,6,10.0,46.0,2,0.0,0.0,0.0,0.0,0.0,0.0
198,Guil Falcon,25.0,3,10.0,10.0,5,0.0,0.0,0.0,0.0,0.0,0.0
199,Harry Gilmer,28.0,2,10.0,16.0,2,0.0,0.0,0.0,0.0,0.0,0.0
200,Cecil Isbell,35.0,4,10.0,24.0,1,1.0,1.0,0.0,1.0,0.0,0.0
201,Kay Stephenson,36.0,3,10.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0
202,Jack Faulkner,32.0,3,9.0,22.0,1,0.0,0.0,0.0,0.0,0.0,0.0
203,John Mazur,30.0,3,9.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0
204,Cap McEwan,21.0,2,9.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0
205,Nelson Talbot,18.0,2,9.0,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0
206,Charlie Waller,19.0,2,9.0,7.0,3,0.0,0.0,0.0,0.0,0.0,0.0
207,Bob Waterfield,34.0,3,9.0,24.0,1,0.0,0.0,0.0,0.0,0.0,0.0
208,Bud Wilkinson,29.0,2,9.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0
209,Doc Alexander,18.0,2,8.0,8.0,2,0.0,0.0,0.0,0.0,0.0,0.0
210,Ed Biles,31.0,3,8.0,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0
211,Hugh Campbell,30.0,2,8.0,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0
212,Bob Folwell,12.0,1,8.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
213,Jack Forsyth,16.0,2,8.0,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0
214,Frank Gansz,31.0,2,8.0,22.0,1,0.0,0.0,0.0,0.0,0.0,0.0
215,Bob Hollway,28.0,2,8.0,18.0,2,0.0,0.0,0.0,0.0,0.0,0.0
216,Ed Khayat,25.0,2,8.0,15.0,2,0.0,0.0,0.0,0.0,0.0,0.0
217,Dick MacPherson,32.0,2,8.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0
218,Fritz Pollard,13.0,2,8.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0
219,Homer Rice,27.0,2,8.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0
220,Carl Storck,38.0,5,8.0,26.0,4,0.0,0.0,0.0,0.0,0.0,0.0
221,Doug Wycoff,22.0,2,8.0,9.0,5,0.0,0.0,0.0,0.0,0.0,0.0
222,Bill Arnsparger,35.0,3,7.0,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0
223,Hugh Devore,26.0,3,7.0,18.0,1,0.0,0.0,0.0,0.0,0.0,0.0
224,Frank Filchock,28.0,2,7.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0
225,Herb Kopf,31.0,3,7.0,22.0,2,0.0,0.0,0.0,0.0,0.0,0.0
226,J.D. Roberts,35.0,3,7.0,25.0,3,0.0,0.0,0.0,0.0,0.0,0.0
227,Ralph Scott,16.0,1,7.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0
228,Clipper Smith,24.0,2,7.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0
229,Jerry Williams,31.0,3,7.0,22.0,2,0.0,0.0,0.0,0.0,0.0,0.0
230,Dutch Bergman,12.0,1,7.0,4.0,1,1.0,2.0,1.0,1.0,0.0,0.0
231,Johnny Blood,25.0,3,6.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0
232,Eddie Erdelatz,16.0,2,6.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0
233,Kevin Gilbride,22.0,2,6.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0
234,Archie Golembeski,12.0,1,6.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0
235,Gus Henderson,11.0,1,6.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
236,Tut Imlay,10.0,1,6.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
237,Brick Muller,10.0,1,6.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
238,Mike Nixon,38.0,3,6.0,30.0,2,0.0,0.0,0.0,0.0,0.0,0.0
239,Bob Snyder,12.0,1,6.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
240,Mac Speedie,26.0,3,6.0,19.0,1,0.0,0.0,0.0,0.0,0.0,0.0
241,John Armstrong,9.0,1,5.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0
242,Clem Crowe,19.0,2,5.0,13.0,1,1.0,1.0,0.0,1.0,0.0,0.0
243,Rod Dowhower,29.0,2,5.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0
244,Hal Erickson,13.0,1,5.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
245,Benny Friedman,14.0,2,5.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0
246,Hal Griffen,14.0,1,5.0,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0
247,Jim Laird,13.0,1,5.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0
248,Ken Meyer,14.0,1,5.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0
249,Harry Robb,18.0,2,5.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
250,Clive Rush,21.0,2,5.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0
251,Dick Todd,9.0,1,5.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
252,Bulldog Turner,14.0,1,5.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0
253,Herman Ball,20.0,3,4.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0
254,Cliff Battles,21.0,2,4.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0
255,Scotty Bierce,8.0,1,4.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0
256,Hank Bullough,22.0,3,4.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0
257,Russ Daugherty,10.0,1,4.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0
258,Aldo Donelli,15.0,2,4.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0
259,Bill Edwards,14.0,2,4.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0
260,Phil Handler,38.0,5,4.0,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0
261,Norb Hecker,31.0,3,4.0,26.0,1,0.0,0.0,0.0,0.0,0.0,0.0
262,Ed Hughes,14.0,1,4.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0
263,Jim Kendrick,13.0,2,4.0,7.0,2,0.0,0.0,0.0,0.0,0.0,0.0
264,Art Lewis,8.0,1,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
265,Gary Moeller,-2.0,0,0.0,-2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
266,Richie Petitbon,16.0,1,4.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0
267,Ed Robinson,11.0,1,4.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0
268,Charley Rogers,10.0,1,4.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0
269,John Sandusky,9.0,1,4.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
270,Howard Schnellenberger,17.0,2,4.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
271,Joey Sternaman,7.0,1,4.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
272,Hugh Taylor,14.0,1,4.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0
273,Red Weaver,17.0,2,4.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
274,Richard Williamson,19.0,2,4.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0
275,Swede Youngstrom,10.0,1,4.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0
276,Wayne Brenkert,10.0,2,3.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
277,Untz Brewer,10.0,1,3.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0
278,Marty Brill,7.0,1,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
279,Forrest Douds,11.0,1,3.0,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0
280,Frank Fausch,8.0,2,3.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
281,Perry Fewell,4.0,1,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
282,Mike Getto,11.0,1,3.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
283,George Gibson,14.0,1,3.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0
284,Pete Henry,23.0,2,3.0,17.0,3,0.0,0.0,0.0,0.0,0.0,0.0
285,Wally Hess,18.0,3,3.0,12.0,3,0.0,0.0,0.0,0.0,0.0,0.0
286,Lou Holtz,13.0,1,3.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0
287,Jack Keogh,10.0,1,3.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
288,Billy Marshall,15.0,2,3.0,8.0,4,0.0,0.0,0.0,0.0,0.0,0.0
289,Keith Molesworth,12.0,1,3.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0
290,Ted Nesser,19.0,2,3.0,14.0,2,0.0,0.0,0.0,0.0,0.0,0.0
291,Mike Palm,7.0,1,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
292,Pat Peppler,9.0,1,3.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
293,Bobby Petrino,1.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
294,Jim Ringo,23.0,2,3.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0
295,Les Steckel,16.0,1,3.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
296,Pete Stinchcomb,7.0,1,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
297,John Whelchel,7.0,1,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
298,Pat Boland,6.0,1,2.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
299,Johnny Bryan,15.0,2,2.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
300,Eddie Casey,11.0,1,2.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0
301,Pete Cawthon,15.0,2,2.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
302,Jack Chevigny,10.0,1,2.0,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0
303,Al Cornsweet,10.0,1,2.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
304,Luby DiMeolo,12.0,1,2.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0
305,Bob Dove,5.0,1,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
306,Chuck Drulis,2.0,1,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
307,Marty Feldman,17.0,2,2.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0
308,Budge Garrett,6.0,1,2.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0
309,Hank Gillo,7.0,1,2.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
310,Hal Hanson,12.0,1,2.0,7.0,3,0.0,0.0,0.0,0.0,0.0,0.0
311,Mel Hein,3.0,1,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
312,Harvey Johnson,26.0,2,2.0,23.0,1,0.0,0.0,0.0,0.0,0.0,0.0
313,Jim Leonard,10.0,1,2.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
314,Ned Mathews,5.0,1,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
315,Harry Mehre,9.0,1,2.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0
316,Wayne Millner,10.0,1,2.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
317,Charley Moran,8.0,1,2.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0
318,Al Pierotti,5.0,1,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
319,Ray Prochaska,2.0,1,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
320,Terry Robiskie,-10.0,0,-6.0,-4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
321,Ted Shipkey,3.0,1,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
322,Herb Sies,8.0,1,2.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0
323,Jerry Smith,5.0,1,2.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
324,Chuck Studley,10.0,1,2.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
325,Gus Tebell,3.0,1,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
326,Joe Thomas,11.0,1,2.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0
327,Rick Venturi,19.0,2,2.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0
328,Carl Voyles,14.0,1,2.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0
329,Willie Wilkin,5.0,1,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
330,Ray Willsey,2.0,1,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
331,Larry Wilson,3.0,1,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
332,Hoge Workman,10.0,1,2.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
333,Shorty Barr,3.0,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
334,Tom Bettis,7.0,1,1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
335,Hugo Bezdek,14.0,2,1.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
336,Fred Bruney,1.0,1,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
337,Bill Conkright,9.0,1,1.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
338,Mel Doherty,4.0,1,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
339,Walt Driskill,8.0,1,1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
340,Charley Ewart,12.0,1,1.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0
341,Jack Fish,9.0,1,1.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0
342,Fred Gillies,6.0,1,1.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
343,Hinkey Haines,4.0,1,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
344,Dick Hanley,3.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
345,Ernie Hefferle,8.0,1,1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
346,Jack Hegarty,3.0,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
347,Jack Heldt,7.0,1,1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
348,Max Hicks,5.0,1,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
349,Herb Joesting,10.0,1,1.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0
350,Al Jolley,12.0,2,1.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0
351,Walt Koppisch,9.0,1,1.0,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0
352,Ollie Kraehe,7.0,1,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0
353,Lou Mahrt,8.0,1,1.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0
354,Pete McCulley,9.0,1,1.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
355,Ed McKeever,14.0,1,1.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
356,Ray McLean,14.0,2,1.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0
357,Jack Meagher,6.0,1,1.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
358,Frank Nied,6.0,1,1.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0
359,Fred O'Connor,7.0,1,1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
360,Bill Peterson,19.0,2,1.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0
361,Jerry Rosburg,2.0,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
362,Rod Rust,16.0,1,1.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0
363,Andy Salata,9.0,1,1.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0
364,Tom Scott,1.0,1,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
365,Ken Shipp,5.0,1,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
366,Jim Shofner,7.0,1,1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
367,Dick Stanfel,4.0,1,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
368,Mal Stevens,7.0,1,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0
369,Emmitt Thomas,-1.0,0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
370,Russell Tollefson,4.0,1,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
371,Ron Waller,6.0,1,1.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
372,Chile Walsh,3.0,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
373,Hubert Wiggs,4.0,1,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
374,Doc Young,8.0,2,1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
375,Fay Abbott,13.0,2,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
376,Dim Batterson,5.0,1,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
377,Joe Brandy,6.0,1,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
378,Charlie Brickley,2.0,1,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
379,Frank Bridges,5.0,1,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
380,Coonie Checkaye,2.0,1,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
381,Algy Clark,8.0,1,0.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
382,Stan Cofall,3.0,1,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
383,Frank Coughlin,2.0,1,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
384,Jim Crowley,10.0,1,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0
385,Herb Dell,8.0,1,0.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
386,John Fassel,3.0,1,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
387,Tex Grigg,7.0,1,0.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0
388,Bo Hanley,5.0,1,0.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0
389,Dutch Hendrian,5.0,1,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
390,Austin Higgins,2.0,1,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
391,Ken Huffine,1.0,1,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
392,Hal Hunter,1.0,1,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
393,Bull Karcis,8.0,1,0.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
394,Ed Kubale,5.0,1,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
395,Hank Kuhlmann,5.0,1,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
396,Leo Lyons,7.0,2,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
397,Alfred McGall,3.0,1,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
398,Wally McIlwain,2.0,1,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
399,Dick Modzelewski,1.0,1,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
400,Johnny Murphy,4.0,1,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
401,Al Nesser,2.0,1,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
402,Tam Rose,1.0,1,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
403,Lenny Sachs,4.0,1,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
